objid,ra,dec,u,g,r,i,z,class,redshift
1237646380469191374,95.21244192,-0.3458556,15.816476,15.122476,15.039831,15.061643,15.089137,STAR,2.498346E-4
1237646380469191628,95.24923325,-0.36277761,18.01882,16.488504,16.236761,16.150698,16.062183,STAR,2.560641E-4
1237646380469256459,95.28764076,-0.29300188,18.745575,17.256613,16.948082,16.83884,16.746307,STAR,1.998431E-4
1237646380469256773,95.32368319,-0.29419168,18.909374,17.347139,17.037207,16.945063,16.834091,STAR,2.133407E-4
1237646380469256930,95.34389894,-0.27701651,17.532156,15.998689,15.76294,15.685286,15.593506,STAR,2.315816E-4
1237646380469257069,95.35988081,-0.2914817,19.114489,17.288475,16.418598,16.019876,15.779481,STAR,7.453885E-5
1237646380469257276,95.37587529,-0.25595844,18.002878,16.450964,15.730938,15.358327,15.208172,STAR,1.61863E-4
1237646380469257398,95.40199402,-0.35854112,17.913481,16.563072,16.39393,16.358364,16.285006,STAR,1.770649E-4
1237646380469322333,95.47231928,-0.28807575,19.132952,17.642427,16.957418,16.616968,16.425814,STAR,1.4481E-4
1237646380469322719,95.54610508,-0.25266757,17.397623,15.926105,15.69043,15.611863,15.533691,STAR,1.791893E-4
1237646380469388126,95.66787042,-0.33413042,19.211651,17.654316,16.862217,16.499001,16.275639,STAR,7.110392E-5
1237646380469452902,95.72795815,-0.34233034,17.177139,15.792966,15.520233,15.436114,15.314678,STAR,9.569332E-5
1237646380469453117,95.73291523,-0.42305473,18.41301,17.087694,16.910746,16.863979,16.803165,STAR,2.998271E-4
1237646380469453810,95.83358446,-0.32254483,17.904705,16.610147,16.444937,16.427923,16.391146,STAR,1.91186E-4
1237646380469454552,95.76026258,-0.26492434,24.202362,24.535547,24.173981,22.233568,22.388979,GALAXY,0.451743
1237646380469519267,95.96444802,-0.42323155,17.070049,16.010687,15.845809,15.804207,15.765319,STAR,2.171693E-4
1237646380469584280,96.05727986,-0.35274901,16.927883,15.421615,15.14455,15.036101,14.917118,STAR,2.055075E-4
1237646380469584342,96.08044381,-0.35985234,17.979973,16.292473,15.907718,15.747249,15.593938,STAR,1.703308E-4
1237646380469584394,96.09098548,-0.39884908,17.269737,15.793567,15.538906,15.429109,15.358215,STAR,2.427488E-4
1237646380469584524,96.10329076,-0.2456218,18.967421,17.44607,17.134684,17.022415,16.896719,STAR,2.407341E-4
1237646380469584547,96.10779549,-0.29188636,17.608521,15.900476,15.482909,15.30003,15.132911,STAR,1.443201E-4
1237646380469584615,96.11838717,-0.3077484,18.909401,17.22681,16.837713,16.67017,16.560911,STAR,8.380501E-5
1237646380469584636,96.1220361,-0.35672906,18.652931,16.985693,16.617056,16.461311,16.311014,STAR,2.467427E-4
1237646380469584749,96.13707832,-0.38723787,16.697784,15.494588,15.23378,15.168757,15.094423,STAR,1.416601E-4
1237646380469584910,96.15495111,-0.37503188,18.868711,17.156425,16.729321,16.418461,16.379448,STAR,1.995001E-4
1237646380469649419,96.17504631,-0.30630943,17.465965,16.125965,15.893585,15.819359,15.745561,STAR,1.920405E-4
1237646380469649574,96.18163387,-0.24705672,18.128792,16.531982,15.982987,15.718602,15.570377,STAR,1.334634E-4
1237646380469649703,96.19519307,-0.27363244,18.107729,16.624352,16.349072,16.254229,16.148739,STAR,1.34734E-4
1237646381005602844,94.12827886,0.0491591,16.72987,15.339295,15.238853,15.230083,15.208855,STAR,2.227984E-4
1237646381005603164,94.12205772,0.16567903,18.965345,17.444298,17.080944,16.926218,16.977503,STAR,1.36708E-4
1237646381005603282,94.13814749,0.0683734,19.067175,17.681408,17.097075,16.841125,16.698587,STAR,2.257851E-4
1237646381005603541,94.16035589,0.15832062,19.436844,17.869329,17.156115,16.857862,16.827309,STAR,2.292765E-4
1237646381005603707,94.18762034,0.09959738,20.704063,18.047449,16.886665,16.438866,16.225595,STAR,7.957799E-5
1237645942904783006,55.46413886,0.22240753,20.499126,19.25486,18.479612,18.048082,17.82513,GALAXY,0.19464
1237645942904914039,55.74373043,0.21634241,20.069208,18.751451,18.157064,17.930227,17.92926,STAR,-4.413323E-4
1237645942904914122,55.71706525,0.21769315,22.281635,20.27043,18.586788,17.992178,17.720251,GALAXY,0.299481
1237645943973675103,44.44335144,1.01836368,17.789745,17.618462,17.917809,18.208973,18.480902,STAR,1.291979E-4
1237645943973675114,44.45203313,0.91496602,17.738869,16.587984,16.166765,16.019552,15.927636,STAR,1.068582E-4
1237645943973675184,44.4673976,0.88646832,20.328947,20.061543,19.793188,19.56744,19.183344,QSO,0.410054
1237645943973675227,44.47062461,0.93889167,23.545671,20.772343,19.197351,18.224794,17.637844,STAR,2.511565E-4
1237645943973675486,44.4226128,0.95880093,25.82374,21.759211,20.003401,19.006439,18.540977,GALAXY,0.53088
1237645943973675526,44.44815771,0.90817009,20.836823,19.879396,19.0417,18.659491,18.418661,GALAXY,0.222008
1237645943978459394,55.39992927,0.994649,23.673243,21.743341,20.221886,19.368761,18.616556,STAR,2.36313E-4
1237645943978459422,55.40053646,1.01859795,25.358953,21.80007,20.207785,19.229033,18.716053,STAR,3.300613E-4
1237645943978459784,55.40493289,0.95492053,23.045765,22.193102,21.867062,21.574268,21.804796,STAR,1.502472E-3
1237645943978524678,55.41189872,1.04609775,20.647133,19.31414,18.739943,18.42642,18.22184,GALAXY,0.097527
1237645943978524695,55.42141309,0.91688827,18.089973,16.772329,16.277351,16.092585,16.020742,STAR,1.316163E-4
1237645943978524724,55.45125252,0.91939863,18.354198,17.199745,16.776213,16.588581,16.51968,STAR,-5.832897E-5
1237645943978524737,55.47353808,0.94017995,21.499945,18.971216,17.626759,17.122946,16.760447,GALAXY,0.193756
1237645943978524746,55.48060409,1.0413969,18.814985,17.513744,16.939606,16.696594,16.556204,STAR,-1.2548E-4
1237645943978524767,55.54596332,0.86670069,18.094732,16.859762,16.683241,16.638494,16.616964,STAR,-1.374902E-4
1237645943978524819,55.51006103,0.98608619,21.635786,19.309963,17.883869,17.377302,17.002426,GALAXY,0.192485
1237645943978524843,55.54754415,1.01262476,21.43334,19.132431,17.877556,17.362873,17.059475,STAR,-5.095993E-5
1237645943978524889,55.53419115,1.04535444,22.238317,20.703941,18.849127,18.242397,17.804386,GALAXY,0.319904
1237645943978524890,55.52675249,1.04153365,24.71998,21.728811,20.067915,19.092209,18.712179,GALAXY,0.489481
1237645943978524918,55.4943128,0.98554797,24.051901,21.603548,20.167181,19.134539,18.632263,STAR,1.107285E-4
1237645943978524926,55.50789586,0.85355369,24.493084,21.91819,20.329567,18.980844,18.348606,STAR,-9.106105E-5
1237645943978525034,55.42368676,1.00093154,23.509827,23.392334,22.155544,20.516087,19.644148,STAR,-1.154315E-4
1237645943978525040,55.42651568,1.03735067,22.186768,20.574957,19.795099,19.470314,19.38135,GALAXY,0.191823
1237645943978525118,55.45530823,1.0066666,23.76186,22.284721,20.678818,19.800417,19.49222,GALAXY,0.487443
1237645943978525143,55.47110437,0.9743213,22.724108,22.192734,21.829134,21.869432,21.475414,GALAXY,0.885147
1237645943978525231,55.51125916,1.00628429,23.337704,22.51726,20.931154,20.021601,19.447235,GALAXY,0.520487
1237645943978525302,55.53778181,0.98467517,21.609505,20.320641,19.444584,19.077629,18.740469,GALAXY,0.194757
1237645943978525338,55.55055737,1.02549839,24.209513,21.866812,20.083162,19.185547,18.613436,GALAXY,0.488923
1237645943978525381,55.40900614,1.01218381,22.864525,22.144838,20.951799,19.824589,19.309792,GALAXY,0.700827
1237645943978525443,55.4546719,1.0119672,23.599728,23.905708,21.913902,20.55743,20.063292,GALAXY,0.652938
1237645943978525509,55.50328336,1.04753401,25.410814,23.239153,21.008875,20.143852,19.853214,GALAXY,0.495306
1237645943978590227,55.57762158,0.99588678,21.323853,21.013632,20.542191,20.350937,20.28425,QSO,1.46279
1237645943978590229,55.59012356,0.89631647,19.163734,18.545185,17.693472,17.335228,17.088562,STAR,4.768638E-5
1237645943978590279,55.63246604,0.91217184,19.429207,17.7481,17.110073,16.879545,16.726259,STAR,2.362465E-5
1237645943978590282,55.6351766,1.04641324,18.533855,17.484535,16.899141,16.727316,16.581673,STAR,-8.125065E-4
1237645943978590300,55.67735671,1.00277764,24.830723,24.73493,22.991631,21.906595,21.714392,STAR,1.689656E-3
1237645943978590317,55.70278403,1.0444314,21.45742,20.105837,19.569355,19.361778,17.189154,STAR,1.45852E-5
1237645943978590383,55.58342128,0.86137242,19.903286,17.224117,15.966445,15.504302,15.231045,STAR,-6.081988E-5
1237645943978590386,55.58549933,1.02147553,18.798092,17.156759,16.462908,16.051186,15.757167,GALAXY,0.037585
1237645943978590400,55.59362538,1.00002821,19.208263,18.093401,17.64492,17.316309,17.127199,GALAXY,0.072299
1237645943978590403,55.6015484,0.95180433,23.333,20.300081,19.042139,18.551357,18.292109,STAR,1.125917E-4
1237645943978590416,55.62893956,0.9979474,23.556019,20.142754,18.646124,17.799875,17.3249,STAR,1.494824E-4
1237645943978590427,55.63491632,0.87017815,25.048931,22.38991,20.54007,19.453514,19.004639,GALAXY,0.56362
1237645943978590429,55.6316956,0.86748911,25.697037,22.246132,20.41165,19.459278,18.839571,GALAXY,0.557198
1237645943978590447,55.6506011,0.88780199,20.884575,19.812557,19.299416,19.024176,18.847027,GALAXY,0.040288
1237645943978590448,55.65295725,0.8883114,24.274523,21.358423,19.877632,19.262707,18.795467,GALAXY,0.235421
1237645943978590452,55.6556214,0.98372554,20.698294,19.546179,19.123943,18.780024,18.692413,GALAXY,0.069667
1237645943978590483,55.70396326,0.91252236,20.969875,19.878094,19.400553,19.21422,19.135965,STAR,-3.128714E-4
1237645943978590498,55.58126369,1.04304823,22.766418,20.278419,18.6336,18.008055,17.609987,GALAXY,0.31939
1237645943978590518,55.63737608,0.88282057,21.835415,19.62331,18.02593,17.498739,17.141504,GALAXY,0.234006
1237645943978590549,55.70605125,0.94823047,20.445982,18.964188,17.962902,17.518581,17.181997,GALAXY,0.156553
1237645943978590565,55.62679664,1.01339903,23.481041,21.074043,19.58242,19.033897,18.729572,GALAXY,0.246797
1237645943978590596,55.62668405,0.93975265,21.96612,20.893875,20.164324,19.735893,19.549635,GALAXY,0.206221
1237645943978590599,55.63433117,0.97371592,20.826662,19.893702,19.057171,18.654692,18.389441,GALAXY,0.257111
1237645943978590603,55.65424359,0.90863386,21.670525,20.718714,19.400057,18.868351,18.312944,GALAXY,0.318413
1237645943978590632,55.56035115,0.89649206,23.240313,22.499672,20.55986,19.547283,19.09458,GALAXY,0.519708
1237645943978590633,55.56102504,0.91656204,26.093056,22.990011,21.669472,20.285931,19.81566,GALAXY,0.632341
1237645943978590674,55.58045304,0.97066145,21.478626,19.453533,18.682499,18.250553,17.923458,GALAXY,0.124791
1237645943978590682,55.58335031,0.88979819,23.064392,20.745901,19.340151,18.766214,18.401129,GALAXY,0.234699
1237645943978590732,55.60705131,0.89880337,24.649647,21.206833,19.799496,19.246126,18.856567,QSO,4.517605
1237645943978590761,55.62374227,0.91584199,24.491283,22.754719,20.864504,20.119528,19.683369,GALAXY,0.51726
1237645943978590772,55.62873591,0.87743309,25.819195,22.369152,20.766041,19.685625,19.238022,GALAXY,0.552907
1237645943978590780,55.63183185,0.94693714,24.458307,22.232018,20.464096,19.610682,19.09971,GALAXY,0.515185
1237645943978590809,55.64577143,1.0323853,22.800875,22.064529,21.599302,21.360422,21.903534,QSO,0.176951
1237645943978590886,55.67247555,0.91705331,20.819847,19.79965,19.309113,18.99445,18.784178,GALAXY,0.072451
1237645943978590924,55.7026543,0.9844295,25.227411,22.744265,21.081568,20.235426,19.606749,QSO,0.683723
1237645943978590998,55.58933729,1.02699423,26.997904,22.57675,20.571753,19.548603,19.14924,GALAXY,0.534291
1237645943978591054,55.61679072,0.86340045,26.495443,22.989111,21.027287,20.264463,19.586361,GALAXY,-0.010193
1237645943978591175,55.70428939,0.96177986,24.340439,24.803476,22.057745,20.391632,19.628193,STAR,2.616285E-4
1237645943978655754,55.72970842,0.90339761,17.332619,15.964544,15.426823,15.210065,15.090739,STAR,5.507417E-5
1237645943978655770,55.73188817,0.93762173,24.229202,22.153393,20.733181,19.749634,19.054838,GALAXY,0.510471
1237645943978655771,55.74183225,0.93474233,23.799606,24.318918,20.867802,19.908649,19.453951,GALAXY,0.512092
1237645943978655832,55.81069754,0.87328774,19.090786,17.335123,16.53451,16.230671,16.056734,STAR,-1.862919E-5
1237645943978655852,55.8269063,0.92977464,23.436083,20.975471,19.551647,19.042646,18.756441,STAR,-6.034362E-5
1237645943978655930,55.71857387,0.94825353,20.819162,20.325403,20.167685,19.917868,19.737812,QSO,1.965866
1237645943978655958,55.78696227,0.86685159,21.933483,19.340965,18.080053,17.608953,17.311512,STAR,2.039649E-5
1237645879562862699,15.89612646,1.2648451,20.149837,19.282238,19.031107,18.95554,18.782871,STAR,-8.209134E-4
1237645879562928144,16.00491197,1.25942251,21.521524,19.68302,18.464746,17.905466,17.536297,GALAXY,0.312048
1237645879562928258,16.02024449,1.26766725,20.980139,20.282736,19.354931,18.853218,18.443817,GALAXY,0.200468
1237645879562928805,16.0260287,1.26677201,25.267179,22.315245,21.317507,19.935097,19.459185,GALAXY,0.752682
1237645942905045292,56.10742431,0.21911899,22.042633,20.812216,19.754887,19.309196,19.17317,GALAXY,0.30658
1237645942905110768,56.24380353,0.21631675,22.955183,20.728708,19.224478,18.667208,18.326284,GALAXY,0.309728
